term,coefficient,direction
plazas,0.15500284094649788,premium
original,0.11395884649333675,premium
garaje,0.0948372163335227,premium
cama,0.0941601283429346,premium
homologado,0.09311787801109249,premium
4x4,0.08012072485940445,premium
asientos,0.07883631820794339,premium
capota,0.07813288073443529,premium
techo,0.07779889347384301,premium
impecable,0.07591334844099516,premium
nacional,0.06935448514404716,premium
llantas,0.06912202549565227,premium
cabrio,0.06883268077267725,premium
suspension,0.06062437162165136,premium
trasero,0.05937006238000832,premium
revisiones,0.05892633968335426,premium
garantia,0.056395932886502784,premium
entrega,0.055646920338934876,premium
serie,0.055428233888019596,premium
remolque,0.05476857334940268,premium
itv,-0.23827949272390944,discount
coche,-0.1998310043483524,discount
motor,-0.1892652200482312,discount
vendo,-0.16735036984624263,discount
funciona,-0.1207605705959077,discount
negociable,-0.119586785509413,discount
vende,-0.11371694368600074,discount
hola,-0.10049101489259905,discount
2021,-0.09600024753083844,discount
probar,-0.08120836405869764,discount
elevalunas,-0.08005066355059377,discount
consumo,-0.07991377676214634,discount
chapa,-0.07924916986486126,discount
hola vendo,-0.07809977986308947,discount
vigor,-0.06676902012143351,discount
perfectamente,-0.06655388601001958,discount
gasolina,-0.06610859436265186,discount
mecanica,-0.0641191656588603,discount
anda,-0.06332473790609847,discount
itv vigor,-0.06033590135825516,discount
